month,group,customer_age,customer_type,avg_order_value_gbp,orders_last_90d,web_sessions_last_30d,discount_eligible,area_affluence_score,made_purchase_30d,tracking_version
2022-01,Control,51,Existing,45.48,2,9.0,Yes,32,No,v1
2022-01,Control,56,Existing,29.14,4,2.0,No,24,No,v1
2022-01,Control,25,New,39.68,1,7.0,No,20,Yes,v1
2022-01,Control,24,Existing,40.99,5,,No,23,No,v1
2022-01,Control,52,Existing,33.18,4,2.0,No,24,No,v1
2022-01,Control,31,New,32.56,1,4.0,Yes,17,No,v1
2022-01,Control,24,New,40.53,2,6.0,No,28,No,v1
2022-01,Control,42,Existing,45.82,0,4.0,No,22,No,v1
2022-01,Control,21,New,50.57,3,3.0,No,21,No,v1
2022-01,Control,18,Existing,23.3,2,3.0,Yes,27,No,v1
2022-01,Control,63,Existing,35.1,4,4.0,Yes,26,Yes,v1
2022-01,Control,30,New,23.4,1,9.0,No,17,Yes,v1
2022-01,Control,39,Existing,46.56,0,6.0,No,23,Yes,v1
2022-01,Control,35,New,42.27,2,5.0,No,20,No,v1
2022-01,Control,27,New,28.82,2,2.0,No,24,No,v1
2022-01,Control,45,Existing,28.85,4,7.0,No,34,No,v1
2022-01,Control,21,New,24.3,0,,Yes,23,Yes,v1
2022-01,Control,29,New,59.91,0,5.0,No,29,No,v1
2022-01,Control,32,Existing,31.53,7,2.0,No,18,No,v1
2022-01,Control,39,Existing,28.28,2,4.0,Yes,27,No,v1
2022-01,Control,62,Existing,45.16,3,7.0,No,34,No,v1
2022-01,Control,41,Existing,38.07,2,6.0,No,17,No,v1
2022-01,Control,46,Existing,42.06,4,3.0,No,37,No,v1
2022-01,Control,40,Existing,48.48,2,,Yes,24,No,v1
2022-01,Control,22,Existing,34.31,2,6.0,No,17,Yes,v1
2022-01,Control,27,New,42.29,0,3.0,No,24,No,v1
2022-01,Control,18,New,33.82,0,5.0,No,21,No,v1
2022-01,Control,34,Existing,31.45,0,5.0,Yes,15,No,v1
2022-01,Control,29,New,32.5,1,8.0,Yes,18,No,v1
2022-01,Control,36,New,34.35,1,6.0,Yes,27,No,v1
2022-01,Control,46,Existing,38.74,6,6.0,No,23,No,v1
2022-01,Control,43,New,22.87,0,4.0,Yes,33,No,v1
2022-01,Control,27,New,35.26,0,8.0,Yes,15,Yes,v1
2022-01,Control,61,Existing,26.37,3,,No,19,No,v1
2022-01,Control,43,New,36.58,3,3.0,No,22,No,v1
2022-01,Control,40,New,31.28,2,8.0,No,29,No,v1
2022-01,Control,28,New,47.38,3,2.0,Yes,29,No,v1
2022-01,Control,28,Existing,25.05,3,7.0,No,23,No,v1
2022-01,Control,44,Existing,23.53,1,6.0,No,13,No,v1
2022-01,Control,32,Existing,35.35,1,,No,17,No,v1
2022-01,Control,37,Existing,27.54,1,8.0,Yes,35,No,v1
2022-01,Control,31,New,40.7,0,7.0,No,25,Yes,v1
2022-01,Control,56,Existing,24.77,5,5.0,No,23,Yes,v1
2022-01,Control,46,Existing,33.65,1,9.0,No,28,No,v1
2022-01,Control,18,New,26.0,1,3.0,Yes,20,No,v1
